# easy.csv
,6,1,,,,,5,2
8,,,,,,,,1
7,,,5,,,4,,
9,,3,6,,2,,4,7
,,6,7,,1,5,,
5,7,,9,,3,2,,6
,,4,,,9,,,5
1,,,,,,,,8
6,2,,,,,9,3,
# medium.csv
5,,,6,1,,,,
,2,,4,5,7,8,,
1,,,,,,5,,3
,,,,2,1,,,
4,,,,,,,,6
,,,3,6,,,,
9,,3,,,,,,2
,,6,7,3,9,,8,
,,,,8,6,,,5
# hard.csv
,4,,,2,5,9,,
,,,,3,9,,4,
,,,,,,,6,1
,1,7,,,,,,
6,,,7,5,4,,,9
,,,,,,7,3,
4,2,,,,,,,
,9,,5,4,,,,
,,8,9,6,,,5,
# evil.csv
,6,,8,2,,,,
,,2,,,,8,,1
,,,7,,,,5,
4,,,5,,,,,6
,9,,6,,7,,3,
2,,,,,1,,,7
,2,,,,9,,,
8,,4,,,,7,,
,,,,4,8,,2,
